Utility_Code,Utility,DUNS,AcctLength,InputMask,my_fixes,InputMaskResponse,Bill_Method,PricingMethod,UtilityAbbrev,UtilityID,State,CommodityID,Commodity,Unit,UnitAbbrev,EDI_Unit,RateType,DefaultSPL,Sender Name,Rules,DistributorName,Sister_Utility_Code,AllowBackDatedPricing,TaxRate,TaxInfo,DualBilling,BudgetBilling,TaxBackout,ManualEnrollments,InvCancelRefsUsage,PricingUnit,PricingUnitAbbrev,UsageHistoryUnit,UsageHistoryUnitAbbrev,InvoicingUnit,InvoicingUnitAbbrev,AcceptingEnrolments,VendorID,UtilitySlug
44,NSTAR Commonwealth Electric,6953848,11,0,,,1,Unique,COME,44,MA,1,Electric,Kilowatt Hour,kWh,KH,,,,,NStar - COM,,0,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,come
73,Ohio Edison,6998371,20,0,,,2,Unique,OE,73,OH,1,Electric,Kilowatt Hour,kWh,KH,,FE OHIO,,,Ohio Edison,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,oe
62,Ohio Power Company (AEP),2899953,17,1.40E+14,,,2,Unique,AEPN,62,OH,1,Electric,Kilowatt Hour,kWh,KH,,AEPN,,"All numbers, must begin with 0014",Ohio Power Company (AEP),,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,aepn
10,Oncor Electric Delivery Company,1.04E+12,17,,,,4,Unique,TXU,10,TX,1,Electric,Kilowatt Hour,kWh,KH,,,,,Oncor Electric Delivery Company,,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,2,txu
6,Orange and Rockland,6993406,10,0,,,1,Inherit,ORU,6,NY,1,Electric,Kilowatt Hour,kWh,KH,Commodity Price,,,All Numbers,Orange and Rockland,40,0,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,oru
40,Orange and Rockland - GAS,6993406,10,0,,,1,Unique,ORU-GAS,40,NY,2,Gas,Hundred Cubic Feet,ccf,HH,,ORG,,,Orange and Rockland,6,1,,0,0,0,0,1,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,1,1,oru_gas
17,PECO,7914468,10,0,,,2,Unique,PECO,17,PA,1,Electric,Kilowatt Hour,kWh,KH,,PECO,,,PECO Energy,75,1,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,peco
75,PECO Gas,007914468G,10,0,,,2,Unique,PECO-GAS,75,PA,2,Gas,Hundred Cubic Feet,ccf,HH,,PECOG,,,PECO Energy Gas,17,1,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,peco_gas
20,Penelec,8967614,20,8.00E+18,,,2,Unique,PENELEC,20,PA,1,Electric,Kilowatt Hour,kWh,KH,,PN01,,,Pennsylvania Electric Company,,1,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,penelec
18,Penn Power,7912736,20,8.00E+18,,,2,Unique,PENN,18,PA,1,Electric,Kilowatt Hour,kWh,KH,,PP01,,,Penn Power,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,penn
65,Peoples Gas,7916208,12,0,,,1,Unique,PNGPA,65,PA,2,Gas,Thousand Cubic Feet,Mcf,TZ,Rate Code,PNGPA,,,Peoples Natural Gas PA,,0,,0,0,0,0,0,0,Thousand Cubic Feet,Mcf,Thousand Cubic Feet,Mcf,Thousand Cubic Feet,Mcf,1,,pngpa
69,Peoples Gas of IL,6932115,,,,,2,Unique,PEOPGAS,69,IL,2,Gas,Therm,thm,TD,,PEOPGAS,,,Peoples Gas,,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,0,,peopgas
59,PepCo,006920284DC,,,,,2,Unique,PEPCODC,59,DC,1,Electric,Kilowatt Hour,kWh,KH,,PEPZONE,,All Numbers,Pepco DC,,1,,0,0,1,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,,pepcodc
32,Pepco MD,6920284,,,,,2,Unique,PEPCO,32,MD,1,Electric,Kilowatt Hour,kWh,KH,,PEPZONE,,All Numbers,Pepco MD,,1,,0,0,1,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,pepco
76,Philadelphia Gas Works,148415904,10,0,,,1,Unique,PGW,76,PA,2,Gas,Hundred Cubic Feet,ccf,HH,Rate Code,PGW,,,Philadelphia Gas Works,,1,,0,0,0,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,pgw
23,Pike County Light and Power,,,,,,2,Unique,PikeCoun,23,PA,1,Electric,Kilowatt Hour,kWh,KH,,,,,,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,0,1,pikecoun
35,Potomac Edison - APMD,043381565EDC,20,8.00E+18,,,2,Unique,APMD,35,MD,1,Electric,Kilowatt Hour,kWh,KH,,WP01,,All Numbers,Allegheny Power MD,,1,,0,0,1,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,apmd
15,PPL,007909427AC,10,0,,,2,Unique,PPL,15,PA,1,Electric,Kilowatt Hour,kWh,KH,,PL,,,PPL Electric Utilities,,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,ppl
